Keys		Comparisons
10000		0
20000		0
30000		0
40000		0
50000		2
60000		0
70000		0
80000		0
90000		2
100000		0
110000		0
120000		0
130000		1
140000		1
150000		0
160000		2
170000		2
180000		0
190000		0
200000		0
210000		0
220000		2
230000		0
240000		0
250000		0
260000		0
270000		0
280000		1
290000		0
300000		1
310000		0
320000		0
330000		0
340000		2
350000		1
360000		1
370000		1
380000		2
390000		0
400000		1
410000		1
420000		0
430000		2
440000		1
450000		1
460000		0
470000		1
480000		0
490000		1
500000		1
510000		1
520000		1
530000		1
540000		0
550000		0
560000		0
570000		0
580000		0
590000		1
600000		0
610000		0
620000		0
630000		1
640000		0
650000		1
660000		1
670000		0
680000		0
690000		0
700000		0
710000		0
720000		0
730000		0
740000		0
750000		1
760000		1
770000		1
780000		0
790000		0
800000		1
810000		1
820000		0
830000		1
840000		0
850000		0
860000		2
870000		1
880000		1
890000		1
900000		0
910000		1
920000		0
930000		0
940000		1
950000		0
960000		0
970000		0
980000		0
990000		0
1000000		0
